# B->Kll::dBR/ds@LargeRecoil: l=mu
# s	central	FF_min	FF_max	delta_min	delta_max
0.1	3.21414e-08	3.63254e-09	1.00344e-08	3.63254e-09	1.00344e-08   (-11.3018% / +31.2195%)
0.248333	3.44926e-08	3.90909e-09	1.08012e-08	3.90909e-09	1.08012e-08   (-11.3331% / +31.3147%)
0.396667	3.45691e-08	3.92351e-09	1.08426e-08	3.92351e-09	1.08426e-08   (-11.3498% / +31.3651%)
0.545	3.4507e-08	3.92034e-09	1.08349e-08	3.92034e-09	1.08349e-08   (-11.361% / +31.3992%)
0.693333	3.44286e-08	3.9143e-09	1.0819e-08	3.9143e-09	1.0819e-08   (-11.3693% / +31.4245%)
0.841667	3.43525e-08	3.90785e-09	1.08018e-08	3.90785e-09	1.08018e-08   (-11.3757% / +31.4439%)
0.99	3.42818e-08	3.90155e-09	1.07848e-08	3.90155e-09	1.07848e-08   (-11.3808% / +31.4594%)
1.13833	3.42165e-08	3.89551e-09	1.07685e-08	3.89551e-09	1.07685e-08   (-11.3849% / +31.4718%)
1.28667	3.41559e-08	3.88974e-09	1.07529e-08	3.88974e-09	1.07529e-08   (-11.3882% / +31.4818%)
1.435	3.40991e-08	3.88419e-09	1.07378e-08	3.88419e-09	1.07378e-08   (-11.3909% / +31.49%)
1.58333	3.40454e-08	3.87882e-09	1.07231e-08	3.87882e-09	1.07231e-08   (-11.3931% / +31.4966%)
1.73167	3.39943e-08	3.8736e-09	1.07089e-08	3.8736e-09	1.07089e-08   (-11.3949% / +31.502%)
1.88	3.39451e-08	3.86848e-09	1.06949e-08	3.86848e-09	1.06949e-08   (-11.3963% / +31.5063%)
2.02833	3.38975e-08	3.86344e-09	1.0681e-08	3.86344e-09	1.0681e-08   (-11.3974% / +31.5098%)
2.17667	3.3851e-08	3.85845e-09	1.06673e-08	3.85845e-09	1.06673e-08   (-11.3983% / +31.5125%)
2.325	3.38054e-08	3.85349e-09	1.06536e-08	3.85349e-09	1.06536e-08   (-11.399% / +31.5146%)
2.47333	3.37604e-08	3.84853e-09	1.064e-08	3.84853e-09	1.064e-08   (-11.3995% / +31.5161%)
2.62167	3.37158e-08	3.84357e-09	1.06263e-08	3.84357e-09	1.06263e-08   (-11.3999% / +31.5172%)
2.77	3.36714e-08	3.83858e-09	1.06125e-08	3.83858e-09	1.06125e-08   (-11.4001% / +31.5179%)
2.91833	3.36269e-08	3.83356e-09	1.05986e-08	3.83356e-09	1.05986e-08   (-11.4003% / +31.5183%)
3.06667	3.35824e-08	3.82849e-09	1.05846e-08	3.82849e-09	1.05846e-08   (-11.4003% / +31.5184%)
3.215	3.35375e-08	3.82336e-09	1.05705e-08	3.82336e-09	1.05705e-08   (-11.4003% / +31.5183%)
3.36333	3.34923e-08	3.81818e-09	1.05561e-08	3.81818e-09	1.05561e-08   (-11.4002% / +31.518%)
3.51167	3.34467e-08	3.81292e-09	1.05416e-08	3.81292e-09	1.05416e-08   (-11.4% / +31.5175%)
3.66	3.34005e-08	3.80759e-09	1.05268e-08	3.80759e-09	1.05268e-08   (-11.3998% / +31.5169%)
3.80833	3.33537e-08	3.80217e-09	1.05118e-08	3.80217e-09	1.05118e-08   (-11.3995% / +31.5161%)
3.95667	3.33063e-08	3.79667e-09	1.04966e-08	3.79667e-09	1.04966e-08   (-11.3993% / +31.5153%)
4.105	3.32581e-08	3.79107e-09	1.04811e-08	3.79107e-09	1.04811e-08   (-11.399% / +31.5144%)
4.25333	3.32091e-08	3.78539e-09	1.04653e-08	3.78539e-09	1.04653e-08   (-11.3986% / +31.5134%)
4.40167	3.31594e-08	3.7796e-09	1.04493e-08	3.7796e-09	1.04493e-08   (-11.3983% / +31.5123%)
4.55	3.31088e-08	3.77372e-09	1.0433e-08	3.77372e-09	1.0433e-08   (-11.3979% / +31.5113%)
4.69833	3.30573e-08	3.76773e-09	1.04164e-08	3.76773e-09	1.04164e-08   (-11.3976% / +31.5101%)
4.84667	3.3005e-08	3.76164e-09	1.03995e-08	3.76164e-09	1.03995e-08   (-11.3972% / +31.509%)
4.995	3.29518e-08	3.75545e-09	1.03824e-08	3.75545e-09	1.03824e-08   (-11.3968% / +31.5079%)
5.14333	3.28976e-08	3.74916e-09	1.0365e-08	3.74916e-09	1.0365e-08   (-11.3964% / +31.5067%)
5.29167	3.28426e-08	3.74276e-09	1.03472e-08	3.74276e-09	1.03472e-08   (-11.3961% / +31.5055%)
5.44	3.27867e-08	3.73626e-09	1.03292e-08	3.73626e-09	1.03292e-08   (-11.3957% / +31.5043%)
5.58833	3.27298e-08	3.72966e-09	1.03109e-08	3.72966e-09	1.03109e-08   (-11.3953% / +31.5032%)
5.73667	3.26721e-08	3.72295e-09	1.02924e-08	3.72295e-09	1.02924e-08   (-11.3949% / +31.502%)
5.885	3.26136e-08	3.71615e-09	1.02735e-08	3.71615e-09	1.02735e-08   (-11.3945% / +31.5008%)
6.03333	3.25542e-08	3.70925e-09	1.02544e-08	3.70925e-09	1.02544e-08   (-11.3941% / +31.4996%)
6.18167	3.2494e-08	3.70227e-09	1.02351e-08	3.70227e-09	1.02351e-08   (-11.3937% / +31.4983%)
6.33	3.24331e-08	3.69519e-09	1.02155e-08	3.69519e-09	1.02155e-08   (-11.3933% / +31.4971%)
6.47833	3.23715e-08	3.68803e-09	1.01957e-08	3.68803e-09	1.01957e-08   (-11.3928% / +31.4958%)
6.62667	3.23092e-08	3.6808e-09	1.01756e-08	3.6808e-09	1.01756e-08   (-11.3924% / +31.4945%)
6.775	3.22464e-08	3.6735e-09	1.01554e-08	3.6735e-09	1.01554e-08   (-11.3919% / +31.4931%)
6.92333	3.21832e-08	3.66614e-09	1.0135e-08	3.66614e-09	1.0135e-08   (-11.3915% / +31.4917%)
7.07167	3.21195e-08	3.65873e-09	1.01145e-08	3.65873e-09	1.01145e-08   (-11.391% / +31.4902%)
7.22	3.20557e-08	3.65128e-09	1.00939e-08	3.65128e-09	1.00939e-08   (-11.3904% / +31.4886%)
7.36833	3.19917e-08	3.64381e-09	1.00732e-08	3.64381e-09	1.00732e-08   (-11.3899% / +31.4869%)
7.51667	3.19279e-08	3.63634e-09	1.00525e-08	3.63634e-09	1.00525e-08   (-11.3892% / +31.485%)
7.665	3.18643e-08	3.62888e-09	1.00318e-08	3.62888e-09	1.00318e-08   (-11.3885% / +31.483%)
7.81333	3.18013e-08	3.62145e-09	1.00113e-08	3.62145e-09	1.00113e-08   (-11.3877% / +31.4807%)
7.96167	3.17391e-08	3.61409e-09	9.99086e-09	3.61409e-09	9.99086e-09   (-11.3869% / +31.4781%)
8.11	3.16781e-08	3.60683e-09	9.97072e-09	3.60683e-09	9.97072e-09   (-11.3859% / +31.4751%)
8.25833	3.16188e-08	3.5997e-09	9.95097e-09	3.5997e-09	9.95097e-09   (-11.3847% / +31.4717%)
