# B->Kll::dBR/ds@LowRecoil: l=mu
# s	central	FF_min	FF_max	delta_min	delta_max
12	2.23543e-08	2.55256e-09	7.05823e-09	2.55256e-09	7.05823e-09   (-11.4187% / +31.5744%)
12.26	2.21929e-08	2.53414e-09	7.00728e-09	2.53414e-09	7.00728e-09   (-11.4187% / +31.5744%)
12.52	2.20131e-08	2.5136e-09	6.95049e-09	2.5136e-09	6.95049e-09   (-11.4187% / +31.5744%)
12.78	2.18147e-08	2.49095e-09	6.88787e-09	2.49095e-09	6.88787e-09   (-11.4187% / +31.5744%)
13.04	2.15979e-08	2.4662e-09	6.81941e-09	2.4662e-09	6.81941e-09   (-11.4187% / +31.5744%)
13.3	2.13626e-08	2.43933e-09	6.74511e-09	2.43933e-09	6.74511e-09   (-11.4187% / +31.5744%)
13.56	2.11087e-08	2.41034e-09	6.66495e-09	2.41034e-09	6.66495e-09   (-11.4187% / +31.5744%)
13.82	2.08362e-08	2.37922e-09	6.5789e-09	2.37922e-09	6.5789e-09   (-11.4187% / +31.5744%)
14.08	2.05449e-08	2.34596e-09	6.48692e-09	2.34596e-09	6.48692e-09   (-11.4187% / +31.5744%)
14.34	2.02347e-08	2.31054e-09	6.38899e-09	2.31054e-09	6.38899e-09   (-11.4187% / +31.5744%)
14.6	1.99055e-08	2.27294e-09	6.28503e-09	2.27294e-09	6.28503e-09   (-11.4187% / +31.5744%)
14.86	1.9557e-08	2.23315e-09	6.175e-09	2.23315e-09	6.175e-09   (-11.4187% / +31.5744%)
15.12	1.91891e-08	2.19114e-09	6.05884e-09	2.19114e-09	6.05884e-09   (-11.4187% / +31.5744%)
15.38	1.88015e-08	2.14688e-09	5.93646e-09	2.14688e-09	5.93646e-09   (-11.4187% / +31.5744%)
15.64	1.8394e-08	2.10035e-09	5.8078e-09	2.10035e-09	5.8078e-09   (-11.4187% / +31.5744%)
15.9	1.79663e-08	2.05152e-09	5.67276e-09	2.05152e-09	5.67276e-09   (-11.4187% / +31.5744%)
16.16	1.75182e-08	2.00035e-09	5.53126e-09	2.00035e-09	5.53126e-09   (-11.4187% / +31.5744%)
16.42	1.70493e-08	1.9468e-09	5.38321e-09	1.9468e-09	5.38321e-09   (-11.4187% / +31.5744%)
16.68	1.65593e-08	1.89086e-09	5.22851e-09	1.89086e-09	5.22851e-09   (-11.4187% / +31.5744%)
16.94	1.6048e-08	1.83247e-09	5.06705e-09	1.83247e-09	5.06705e-09   (-11.4187% / +31.5744%)
17.2	1.55149e-08	1.7716e-09	4.89875e-09	1.7716e-09	4.89875e-09   (-11.4187% / +31.5744%)
17.46	1.49599e-08	1.70822e-09	4.7235e-09	1.70822e-09	4.7235e-09   (-11.4187% / +31.5744%)
17.72	1.43826e-08	1.6423e-09	4.54121e-09	1.6423e-09	4.54121e-09   (-11.4187% / +31.5744%)
17.98	1.37827e-08	1.5738e-09	4.3518e-09	1.5738e-09	4.3518e-09   (-11.4187% / +31.5744%)
18.24	1.316e-08	1.5027e-09	4.15519e-09	1.5027e-09	4.15519e-09   (-11.4187% / +31.5744%)
18.5	1.25143e-08	1.42897e-09	3.95132e-09	1.42897e-09	3.95132e-09   (-11.4187% / +31.5744%)
18.76	1.18456e-08	1.35261e-09	3.74017e-09	1.35261e-09	3.74017e-09   (-11.4187% / +31.5744%)
19.02	1.11538e-08	1.27361e-09	3.52173e-09	1.27361e-09	3.52173e-09   (-11.4187% / +31.5744%)
19.28	1.0439e-08	1.192e-09	3.29606e-09	1.192e-09	3.29606e-09   (-11.4187% / +31.5744%)
19.54	9.70177e-09	1.10782e-09	3.06328e-09	1.10782e-09	3.06328e-09   (-11.4187% / +31.5744%)
19.8	8.94258e-09	1.02113e-09	2.82357e-09	1.02113e-09	2.82357e-09   (-11.4187% / +31.5744%)
20.06	8.16245e-09	9.32044e-10	2.57724e-09	9.32044e-10	2.57724e-09   (-11.4187% / +31.5744%)
20.32	7.36285e-09	8.40741e-10	2.32478e-09	8.40741e-10	2.32478e-09   (-11.4187% / +31.5744%)
20.58	6.54594e-09	7.4746e-10	2.06684e-09	7.4746e-10	2.06684e-09   (-11.4187% / +31.5744%)
20.84	5.71477e-09	6.52551e-10	1.8044e-09	6.52551e-10	1.8044e-09   (-11.4187% / +31.5744%)
21.1	4.87367e-09	5.5651e-10	1.53883e-09	5.5651e-10	1.53883e-09   (-11.4187% / +31.5744%)
21.36	4.02882e-09	4.60038e-10	1.27207e-09	4.60038e-10	1.27207e-09   (-11.4187% / +31.5744%)
21.62	3.18902e-09	3.64144e-10	1.00691e-09	3.64144e-10	1.00691e-09   (-11.4187% / +31.5744%)
21.88	2.36719e-09	2.70302e-10	7.47426e-10	2.70302e-10	7.47426e-10   (-11.4187% / +31.5744%)
22.14	1.58283e-09	1.80738e-10	4.99769e-10	1.80738e-10	4.99769e-10   (-11.4187% / +31.5744%)
22.4	8.67368e-10	9.9042e-11	2.73866e-10	9.9042e-11	2.73866e-10   (-11.4187% / +31.5744%)
22.66	2.78623e-10	3.1815e-11	8.79734e-11	3.1815e-11	8.79734e-11   (-11.4187% / +31.5744%)
22.92	-nan	0	0	0	0   (-nan% / +nan%)
23.18	-nan	0	0	0	0   (-nan% / +nan%)
23.44	-nan	0	0	0	0   (-nan% / +nan%)
23.7	-nan	0	0	0	0   (-nan% / +nan%)
23.96	-nan	0	0	0	0   (-nan% / +nan%)
24.22	-nan	0	0	0	0   (-nan% / +nan%)
24.48	-nan	0	0	0	0   (-nan% / +nan%)
24.74	-nan	0	0	0	0   (-nan% / +nan%)
25	-nan	0	0	0	0   (-nan% / +nan%)
