# B->Pill::dBR/ds@LargeRecoil: l=mu
# s	central	FF_min	FF_max	delta_min	delta_max
0.1	9.1217e-10	2.55965e-10	2.98087e-10	2.55965e-10	2.98087e-10   (-28.0611% / +32.6788%)
0.248333	9.65312e-10	2.71653e-10	3.16485e-10	2.71653e-10	3.16485e-10   (-28.1414% / +32.7858%)
0.396667	9.58424e-10	2.70109e-10	3.14754e-10	2.70109e-10	3.14754e-10   (-28.1827% / +32.8408%)
0.545	9.49239e-10	2.67783e-10	3.12089e-10	2.67783e-10	3.12089e-10   (-28.2103% / +32.8778%)
0.693333	9.40429e-10	2.65491e-10	3.0945e-10	2.65491e-10	3.0945e-10   (-28.2308% / +32.9052%)
0.841667	9.322e-10	2.63317e-10	3.06942e-10	2.63317e-10	3.06942e-10   (-28.2468% / +32.9266%)
0.99	9.24481e-10	2.61255e-10	3.04559e-10	2.61255e-10	3.04559e-10   (-28.2596% / +32.9438%)
1.13833	9.1718e-10	2.59287e-10	3.02282e-10	2.59287e-10	3.02282e-10   (-28.2701% / +32.9578%)
1.28667	9.1022e-10	2.57398e-10	3.00094e-10	2.57398e-10	3.00094e-10   (-28.2787% / +32.9694%)
1.435	9.03539e-10	2.55574e-10	2.97978e-10	2.55574e-10	2.97978e-10   (-28.2859% / +32.979%)
1.58333	8.97092e-10	2.53804e-10	2.95923e-10	2.53804e-10	2.95923e-10   (-28.2918% / +32.987%)
1.73167	8.90841e-10	2.5208e-10	2.93921e-10	2.5208e-10	2.93921e-10   (-28.2968% / +32.9936%)
1.88	8.84758e-10	2.50395e-10	2.91962e-10	2.50395e-10	2.91962e-10   (-28.3009% / +32.9991%)
2.02833	8.7882e-10	2.48744e-10	2.90042e-10	2.48744e-10	2.90042e-10   (-28.3043% / +33.0036%)
2.17667	8.73007e-10	2.47123e-10	2.88156e-10	2.47123e-10	2.88156e-10   (-28.3071% / +33.0073%)
2.325	8.67305e-10	2.45528e-10	2.86299e-10	2.45528e-10	2.86299e-10   (-28.3093% / +33.0103%)
2.47333	8.617e-10	2.43956e-10	2.84469e-10	2.43956e-10	2.84469e-10   (-28.311% / +33.0126%)
2.62167	8.56182e-10	2.42405e-10	2.82663e-10	2.42405e-10	2.82663e-10   (-28.3123% / +33.0143%)
2.77	8.50742e-10	2.40873e-10	2.80877e-10	2.40873e-10	2.80877e-10   (-28.3133% / +33.0155%)
2.91833	8.45374e-10	2.39358e-10	2.79111e-10	2.39358e-10	2.79111e-10   (-28.3139% / +33.0163%)
3.06667	8.40069e-10	2.37859e-10	2.77363e-10	2.37859e-10	2.77363e-10   (-28.3142% / +33.0167%)
3.215	8.34823e-10	2.36374e-10	2.75631e-10	2.36374e-10	2.75631e-10   (-28.3142% / +33.0167%)
3.36333	8.29631e-10	2.34902e-10	2.73915e-10	2.34902e-10	2.73915e-10   (-28.314% / +33.0164%)
3.51167	8.24489e-10	2.33443e-10	2.72212e-10	2.33443e-10	2.72212e-10   (-28.3136% / +33.0158%)
3.66	8.19394e-10	2.31995e-10	2.70522e-10	2.31995e-10	2.70522e-10   (-28.3129% / +33.0149%)
3.80833	8.14344e-10	2.30558e-10	2.68845e-10	2.30558e-10	2.68845e-10   (-28.3121% / +33.0137%)
3.95667	8.09334e-10	2.29131e-10	2.6718e-10	2.29131e-10	2.6718e-10   (-28.3111% / +33.0123%)
4.105	8.04364e-10	2.27714e-10	2.65526e-10	2.27714e-10	2.65526e-10   (-28.3099% / +33.0107%)
4.25333	7.99432e-10	2.26307e-10	2.63883e-10	2.26307e-10	2.63883e-10   (-28.3085% / +33.0088%)
4.40167	7.94537e-10	2.24909e-10	2.6225e-10	2.24909e-10	2.6225e-10   (-28.3069% / +33.0067%)
4.55	7.89677e-10	2.2352e-10	2.60628e-10	2.2352e-10	2.60628e-10   (-28.3052% / +33.0043%)
4.69833	7.84852e-10	2.22139e-10	2.59015e-10	2.22139e-10	2.59015e-10   (-28.3033% / +33.0018%)
4.84667	7.80061e-10	2.20767e-10	2.57412e-10	2.20767e-10	2.57412e-10   (-28.3013% / +32.999%)
4.995	7.75304e-10	2.19403e-10	2.55819e-10	2.19403e-10	2.55819e-10   (-28.299% / +32.9959%)
5.14333	7.70581e-10	2.18048e-10	2.54235e-10	2.18048e-10	2.54235e-10   (-28.2966% / +32.9926%)
5.29167	7.65893e-10	2.16701e-10	2.52661e-10	2.16701e-10	2.52661e-10   (-28.294% / +32.9891%)
5.44	7.6124e-10	2.15363e-10	2.51097e-10	2.15363e-10	2.51097e-10   (-28.2911% / +32.9852%)
5.58833	7.56622e-10	2.14034e-10	2.49542e-10	2.14034e-10	2.49542e-10   (-28.2881% / +32.9811%)
5.73667	7.52041e-10	2.12713e-10	2.47998e-10	2.12713e-10	2.47998e-10   (-28.2848% / +32.9766%)
5.885	7.47499e-10	2.11402e-10	2.46464e-10	2.11402e-10	2.46464e-10   (-28.2812% / +32.9718%)
6.03333	7.42996e-10	2.10099e-10	2.4494e-10	2.10099e-10	2.4494e-10   (-28.2773% / +32.9666%)
6.18167	7.38535e-10	2.08807e-10	2.43428e-10	2.08807e-10	2.43428e-10   (-28.2731% / +32.9609%)
6.33	7.34118e-10	2.07525e-10	2.41927e-10	2.07525e-10	2.41927e-10   (-28.2686% / +32.9548%)
6.47833	7.29749e-10	2.06254e-10	2.40439e-10	2.06254e-10	2.40439e-10   (-28.2636% / +32.9481%)
6.62667	7.2543e-10	2.04994e-10	2.38963e-10	2.04994e-10	2.38963e-10   (-28.2582% / +32.9409%)
6.775	7.21165e-10	2.03746e-10	2.37501e-10	2.03746e-10	2.37501e-10   (-28.2523% / +32.9329%)
6.92333	7.16959e-10	2.02511e-10	2.36053e-10	2.02511e-10	2.36053e-10   (-28.2459% / +32.9242%)
7.07167	7.12817e-10	2.0129e-10	2.34621e-10	2.0129e-10	2.34621e-10   (-28.2387% / +32.9147%)
7.22	7.08745e-10	2.00085e-10	2.33206e-10	2.00085e-10	2.33206e-10   (-28.2308% / +32.9041%)
