# B->Pill::dBR/ds@LowRecoil: l=mu
# s	central	FF_min	FF_max	delta_min	delta_max
12	4.52926e-10	1.28642e-10	1.50082e-10	1.28642e-10	1.50082e-10   (-28.4024% / +33.1361%)
12.26	4.47882e-10	1.27209e-10	1.4841e-10	1.27209e-10	1.4841e-10   (-28.4024% / +33.1361%)
12.52	4.4263e-10	1.25717e-10	1.4667e-10	1.25717e-10	1.4667e-10   (-28.4024% / +33.1361%)
12.78	4.3718e-10	1.24169e-10	1.44864e-10	1.24169e-10	1.44864e-10   (-28.4024% / +33.1361%)
13.04	4.31542e-10	1.22568e-10	1.42996e-10	1.22568e-10	1.42996e-10   (-28.4024% / +33.1361%)
13.3	4.25725e-10	1.20916e-10	1.41069e-10	1.20916e-10	1.41069e-10   (-28.4024% / +33.1361%)
13.56	4.19737e-10	1.19215e-10	1.39085e-10	1.19215e-10	1.39085e-10   (-28.4024% / +33.1361%)
13.82	4.13587e-10	1.17468e-10	1.37047e-10	1.17468e-10	1.37047e-10   (-28.4024% / +33.1361%)
14.08	4.07282e-10	1.15678e-10	1.34957e-10	1.15678e-10	1.34957e-10   (-28.4024% / +33.1361%)
14.34	4.00828e-10	1.13845e-10	1.32819e-10	1.13845e-10	1.32819e-10   (-28.4024% / +33.1361%)
14.6	3.94233e-10	1.11972e-10	1.30633e-10	1.11972e-10	1.30633e-10   (-28.4024% / +33.1361%)
14.86	3.87503e-10	1.1006e-10	1.28403e-10	1.1006e-10	1.28403e-10   (-28.4024% / +33.1361%)
15.12	3.80644e-10	1.08112e-10	1.26131e-10	1.08112e-10	1.26131e-10   (-28.4024% / +33.1361%)
15.38	3.73662e-10	1.06129e-10	1.23817e-10	1.06129e-10	1.23817e-10   (-28.4024% / +33.1361%)
15.64	3.66561e-10	1.04112e-10	1.21464e-10	1.04112e-10	1.21464e-10   (-28.4024% / +33.1361%)
15.9	3.59347e-10	1.02063e-10	1.19073e-10	1.02063e-10	1.19073e-10   (-28.4024% / +33.1361%)
16.16	3.52024e-10	9.99831e-11	1.16647e-10	9.99831e-11	1.16647e-10   (-28.4024% / +33.1361%)
16.42	3.44597e-10	9.78737e-11	1.14186e-10	9.78737e-11	1.14186e-10   (-28.4024% / +33.1361%)
16.68	3.3707e-10	9.57358e-11	1.11692e-10	9.57358e-11	1.11692e-10   (-28.4024% / +33.1361%)
16.94	3.29446e-10	9.35706e-11	1.09166e-10	9.35706e-11	1.09166e-10   (-28.4024% / +33.1361%)
17.2	3.21731e-10	9.13791e-11	1.06609e-10	9.13791e-11	1.06609e-10   (-28.4024% / +33.1361%)
17.46	3.13926e-10	8.91623e-11	1.04023e-10	8.91623e-11	1.04023e-10   (-28.4024% / +33.1361%)
17.72	3.06035e-10	8.6921e-11	1.01408e-10	8.6921e-11	1.01408e-10   (-28.4024% / +33.1361%)
17.98	2.98061e-10	8.46563e-11	9.87656e-11	8.46563e-11	9.87656e-11   (-28.4024% / +33.1361%)
18.24	2.90007e-10	8.23687e-11	9.60969e-11	8.23687e-11	9.60969e-11   (-28.4024% / +33.1361%)
18.5	2.81875e-10	8.00592e-11	9.34024e-11	8.00592e-11	9.34024e-11   (-28.4024% / +33.1361%)
18.76	2.73668e-10	7.77283e-11	9.0683e-11	7.77283e-11	9.0683e-11   (-28.4024% / +33.1361%)
19.02	2.65389e-10	7.53767e-11	8.79395e-11	7.53767e-11	8.79395e-11   (-28.4024% / +33.1361%)
19.28	2.57039e-10	7.30051e-11	8.51726e-11	7.30051e-11	8.51726e-11   (-28.4024% / +33.1361%)
19.54	2.48619e-10	7.06138e-11	8.23828e-11	7.06138e-11	8.23828e-11   (-28.4024% / +33.1361%)
19.8	2.40133e-10	6.82035e-11	7.95707e-11	6.82035e-11	7.95707e-11   (-28.4024% / +33.1361%)
20.06	2.31581e-10	6.57745e-11	7.67369e-11	6.57745e-11	7.67369e-11   (-28.4024% / +33.1361%)
20.32	2.22964e-10	6.33271e-11	7.38817e-11	6.33271e-11	7.38817e-11   (-28.4024% / +33.1361%)
20.58	2.14284e-10	6.08619e-11	7.10055e-11	6.08619e-11	7.10055e-11   (-28.4024% / +33.1361%)
20.84	2.05542e-10	5.83788e-11	6.81087e-11	5.83788e-11	6.81087e-11   (-28.4024% / +33.1361%)
21.1	1.96738e-10	5.58783e-11	6.51914e-11	5.58783e-11	6.51914e-11   (-28.4024% / +33.1361%)
21.36	1.87873e-10	5.33604e-11	6.22539e-11	5.33604e-11	6.22539e-11   (-28.4024% / +33.1361%)
